md5,sha256,family,cluster,wncry_password,killswitch_domain,crypt_apis,mssecsvc_exe,loader_export,notes
9a936a0b3b66b6ad153f1a59426da531,3eafea823d5bd21187e5b30e894aaf273f6f0dd18af80b949c79f4874ab2c6fb,WannaCry,A2,no,no,no,no,yes,"archive-intact subgroup: ZIP record count 30-32; mssecsvc.exe also absent"
c2b8b099bb55f52e094d22266b6d7b34,97071a42de7b359d9250feb08cac443933a95e9bbfbd7760435f8bda9c1aa00b,WannaCry,A1,yes,no,yes,no,yes,
9d3285ab6cd4a8c3862540ee188f1066,4d67350af71cfcfd673ce313e25ee1fb2d5824d4bb249f0a88a696c5d34c3ff8,WannaCry,A1,yes,no,yes,no,yes,
a21f7847f4edfb503107c343fcdf5ab6,6018e1bf68cdedee60faa9ed7020ddd03a10269ae0ac32f24395cbfc21ec826e,WannaCry,A2,no,no,no,yes,yes,"archive-intact subgroup; also breaks the A2 pattern by retaining mssecsvc.exe and a full OpenSCManagerA count"
1d7be28d97a57aeaeca8e9b96057a526,c2e3ce39da608fa9257f8d1779df350cc3c9f73e60a6261dbf89d9b1938900cc,WannaCry,A2,no,yes,no,yes,yes,"has the kill-switch domain but not the ZIP password; marker sets not nested"
0278bf98da17ea92fc67b42124351b0d,57d380fe35ff735c1f520bc297c915d000e15f9ae6a69907a77a9c4ce976b45f,WannaCry,A1,yes,yes,yes,yes,yes,
de01a94bd28042365c7256e87348af61,d8317ed6aabd5421760061907684267db0203231245011ae11f4f913d334e771,WannaCry,A1,yes,yes,yes,yes,yes,
044b7ded208fe64c293e531cbf89ac27,5aacfa3c9a74f546bc95527699143c229231b2ee36e2a05c9bb1eaf9ae79fb08,WannaCry,A1,yes,no,yes,no,yes,
8b7137adb7aac5cbf55b039babb612bc,e669652956cdea2d1a006a6bfc868de4b80ee023684a1406361aa96c85800996,WannaCry,A1,yes,no,yes,yes,yes,
37c07aa4965f5f1bd40600ea762a040f,b2db241fa6eb5c63c67d9768b20d401b19fb526ff3e65a0ca7992183ff70e095,WannaCry,A2,no,no,no,no,yes,"truncated subgroup: ZIP record count 8, the lowest observed"
910dc535e204ed403763e933f4b0d52e,04a64f07738258296c826fcd691c00cdee561aa0b3724622ab40161c6f4e463c,WannaCry,A1,yes,yes,yes,yes,yes,
4d66125fb8e37743378dd4f9f7d90361,23ec9984383b6d7f1e6b2fc5cc44182fdd099b7a9d4897b29a2eeb11b836661d,WannaCry,A1,yes,yes,yes,yes,yes,
b9bef10e5b2b11a40f9b330256fcb38e,415f222902a8681030f8718769f47d9877799ade0269b3229a0a322cb6c33f13,WannaCry,A1,yes,yes,yes,yes,yes,
1a400481251fac98bc574c0aed7beca8,d53d9ce0aaaa16b07513bd58bba94418b73c96035b4bb7aea8ddc928fa6381fa,WannaCry,A1,yes,no,yes,no,yes,
